question,answer,category,verse_reference
"Who is Jesus Christ?","Jesus Christ is the Son of God and the Saviour of the world. He came to earth, lived a perfect life, died on the cross for our sins, and rose again on the third day so that we could be reconciled to God and have eternal life. John 14:6 says: I am the way and the truth and the life. No one comes to the Father except through me.","Faith","John 14:6"
"How do I pray?","Prayer is simply talking to God honestly and openly. You can pray anywhere and anytime. Start by thanking God, then share your needs and concerns, ask for forgiveness, and pray for others. Matthew 6:9-13 gives us the Lord's Prayer as a model. Remember, God hears every prayer because He cares for you deeply.","Prayer","Matthew 6:9-13"
"What does the Bible say about hope?","The Bible is full of hope! Jeremiah 29:11 says: For I know the plans I have for you, declares the Lord, plans to prosper you and not to harm you, plans to give you hope and a future. Isaiah 40:31 adds: Those who hope in the Lord will renew their strength. They will soar on wings like eagles.","Hope","Jeremiah 29:11"
"How can I strengthen my faith?","Faith grows through reading the Bible daily, prayer, fellowship with other believers, and trusting God in difficult times. Romans 10:17 says: Faith comes from hearing the message, and the message is heard through the word about Christ. Start with small steps of trust and watch your faith grow.","Faith","Romans 10:17"
"What does the Bible say about anxiety and worry?","God does not want you to worry. Philippians 4:6-7 says: Do not be anxious about anything, but in every situation, by prayer and petition, with thanksgiving, present your requests to God. And the peace of God, which transcends all understanding, will guard your hearts. Cast all your worries on Him because He cares for you.","Peace","Philippians 4:6-7"
"How do I deal with depression?","God is close to the brokenhearted. Psalm 34:18 says: The Lord is close to the brokenhearted and saves those who are crushed in spirit. Psalm 147:3 adds: He heals the brokenhearted and binds up their wounds. You are not alone. Seek God, trusted friends, your pastor, and professional help if needed.","Comfort","Psalm 34:18"
"What does forgiveness mean in Christianity?","Forgiveness means releasing anger and bitterness towards someone who has wronged you, just as God forgives us. Ephesians 4:32 says: Be kind and compassionate to one another, forgiving each other, just as in Christ God forgave you. Forgiveness does not mean forgetting but choosing not to hold the wrong against someone.","Forgiveness","Ephesians 4:32"
"How can I find my purpose in life?","God created you with a unique purpose. Ephesians 2:10 says: For we are God's handiwork, created in Christ Jesus to do good works, which God prepared in advance for us to do. Pray and ask God to reveal your purpose, use your gifts to serve others, and trust His timing in your life journey.","Purpose","Ephesians 2:10"
"What does the Bible say about money?","The Bible teaches us to be good stewards of what God gives us. 1 Timothy 6:10 warns: The love of money is a root of all kinds of evil. Matthew 6:24 says: You cannot serve both God and money. Proverbs 3:9-10 encourages us: Honor the Lord with your wealth and your barns will be filled to overflowing.","Stewardship","1 Timothy 6:10"
"How do I overcome fear?","God has not given you a spirit of fear. 2 Timothy 1:7 says: For God has not given us a spirit of fear, but of power and of love and of a sound mind. Joshua 1:9 adds: Be strong and courageous. Do not be afraid; do not be discouraged, for the Lord your God will be with you wherever you go.","Fear","2 Timothy 1:7"
"What is the Holy Spirit?","The Holy Spirit is the third person of the Trinity and God living inside every believer. John 16:13 says: When He, the Spirit of truth, comes, He will guide you into all the truth. The Holy Spirit comforts us, gives us power, produces fruit in our lives like love, joy, and peace, and helps us pray.","Holy Spirit","John 16:13"
"How do I read the Bible?","Start with the Gospel of John to learn about Jesus, then read Psalms for comfort and Proverbs for wisdom. Set aside a specific time daily, use a study Bible, pray before reading and ask God for understanding. 2 Timothy 3:16-17 says: All Scripture is God-breathed and is useful for teaching, rebuking, correcting and training in righteousness.","Bible Study","2 Timothy 3:16-17"
"What does it mean to be born again?","Being born again means receiving new spiritual life through faith in Jesus Christ. John 3:3 says: Jesus replied, Very truly I tell you, no one can see the kingdom of God unless they are born again. It happens when you confess your sins, believe in Jesus, and surrender your life to Him as Lord and Saviour.","Salvation","John 3:3"
"How can I share my faith with others?","Share your faith naturally by living it out daily and being ready to explain your hope. 1 Peter 3:15 says: Always be prepared to give an answer to everyone who asks you to give the reason for the hope that you have. Share your personal testimony, invite people to church, and let your actions reflect Christ's love.","Evangelism","1 Peter 3:15"
"What does the Bible say about marriage?","Marriage is a sacred covenant between a man, a woman, and God. Ephesians 5:25 instructs: Husbands, love your wives, just as Christ loved the church. Genesis 2:24 says: A man leaves his father and mother and is united to his wife, and they become one flesh. Pray together, communicate openly, and honour one another.","Marriage","Ephesians 5:25"
"How do I deal with temptation?","God always provides a way out of temptation. 1 Corinthians 10:13 says: No temptation has overtaken you except what is common to mankind. And God is faithful; he will not let you be tempted beyond what you can bear. Stay in God's Word, pray daily, avoid situations that lead you into temptation, and find an accountability partner.","Temptation","1 Corinthians 10:13"
"What does the Bible say about healing?","God is Jehovah Rapha, the God who heals. Isaiah 53:5 says: By his wounds we are healed. James 5:14-15 instructs: Is anyone among you sick? Let them call the elders of the church to pray over them and anoint them with oil in the name of the Lord. Seek medical help, pray with faith, and trust God's perfect timing.","Healing","Isaiah 53:5"
"How do I know God's will for my life?","Seek God's will through prayer, Scripture, wise counsel, and paying attention to the desires and gifts God placed in you. Proverbs 3:5-6 says: Trust in the Lord with all your heart and lean not on your own understanding; in all your ways submit to him, and he will make your paths straight.","God's Will","Proverbs 3:5-6"
"What does the Bible say about tithing?","Tithing is giving ten percent of your income back to God as an act of worship and trust. Malachi 3:10 says: Bring the whole tithe into the storehouse. Test me in this, says the Lord Almighty, and see if I will not throw open the floodgates of heaven and pour out so much blessing that there will not be room enough to store it.","Tithing","Malachi 3:10"
"How do I forgive someone who hurt me deeply?","Forgiveness is a decision and a process. Matthew 18:21-22 shows that we must forgive repeatedly. Start by choosing to forgive as an act of obedience, pray for the person who hurt you, and ask God to heal your heart. Remember Romans 12:19: Do not take revenge, my dear friends, but leave room for God's wrath.","Forgiveness","Matthew 18:21-22"
"What does grace mean?","Grace is God's unmerited favour and unconditional love given to us despite our sins and failures. Ephesians 2:8-9 says: For it is by grace you have been saved, through faith, and this is not from yourselves, it is the gift of God, not by works, so that no one can boast. We cannot earn grace; it is freely given by God.","Grace","Ephesians 2:8-9"
"How do I grow spiritually?","Spiritual growth comes through daily prayer and Bible reading, regular church attendance and fellowship, serving others, fasting, and obedience to God's Word. 2 Peter 3:18 says: Grow in the grace and knowledge of our Lord and Saviour Jesus Christ. Be patient with yourself; growth takes time.","Spiritual Growth","2 Peter 3:18"
"What does the Bible say about wisdom?","True wisdom comes from God. James 1:5 says: If any of you lacks wisdom, you should ask God, who gives generously to all without finding fault, and it will be given to you. Proverbs 9:10 adds: The fear of the Lord is the beginning of wisdom, and knowledge of the Holy One is understanding.","Wisdom","James 1:5"
"How do I handle grief and loss?","Grief is a natural part of life and God meets us in our pain. John 11:35 shows that even Jesus wept. Revelation 21:4 gives us this promise: He will wipe every tear from their eyes. There will be no more death or mourning or crying or pain. Allow yourself to grieve, lean on community, and trust God's comfort.","Grief","Revelation 21:4"
"What does the Bible say about friendship?","Godly friendship is a blessing and a responsibility. Proverbs 17:17 says: A friend loves at all times, and a brother is born for a time of adversity. Proverbs 27:17 adds: As iron sharpens iron, so one person sharpens another. Choose friends who encourage your faith and be the kind of friend who does the same.","Friendship","Proverbs 17:17"
"How do I fast as a Christian?","Fasting is abstaining from food to focus on prayer and seeking God. Matthew 6:16-18 instructs us to fast quietly without making a show of it. Start with skipping one meal and spending that time in prayer. Fasting combined with prayer breaks spiritual strongholds, deepens your relationship with God, and brings clarity on important decisions.","Fasting","Matthew 6:16-18"
"What does the Bible say about pride?","God opposes pride and values humility. Proverbs 16:18 warns: Pride goes before destruction, a haughty spirit before a fall. James 4:6 adds: God opposes the proud but shows favour to the humble. Ask God to reveal any pride in your heart, choose to serve others, and remember that everything you have is a gift from God.","Humility","Proverbs 16:18"
